122,159,196,159,196,210,122,210,HME
269,140,409,140,409,190,269,190,HME
114,222,193,222,193,278,114,278,HME
262,205,467,205,467,261,262,261,HME
331,268,481,268,481,337,331,337,HME
212,342,489,342,489,403,212,403,HME
122,103,197,103,197,155,122,155,HME
262,83,447,83,447,141,262,141,HME
465,84,612,84,612,137,465,137,HME
628,78,749,78,749,140,628,140,HME
759,74,865,74,865,146,759,146,HME
876,70,966,70,966,132,876,132,HME
972,73,1016,73,1016,138,972,138,HME
426,145,544,145,544,192,426,192,HME
485,197,617,197,617,247,485,247,HME
630,192,794,192,794,236,630,236,HME
811,175,895,175,895,233,811,233,HME
906,171,990,171,990,231,906,231,HME
507,266,617,266,617,332,507,332,HME
543,380,634,380,634,439,543,439,HME
