115,99,307,99,307,134,115,134,HME
101,137,313,137,313,173,101,173,HME
91,171,295,171,295,214,91,214,HME
95,213,273,213,273,242,95,242,HME
89,239,236,239,236,280,89,280,HME
96,279,231,279,231,308,96,308,HME
88,375,426,375,426,443,88,443,HME
78,451,204,451,204,490,78,490,HME
234,444,374,444,374,480,234,480,HME
93,488,184,488,184,526,93,526,HME
95,526,185,526,185,560,95,560,HME
254,496,301,496,301,525,254,525,HME
428,450,515,450,515,483,428,483,HME
426,492,519,492,519,526,426,526,HME
605,423,685,423,685,493,605,493,HME
483,533,537,533,537,568,483,568,HME
568,503,632,503,632,565,568,565,HME
