380,139,539,139,539,201,380,201,HME
543,157,720,157,720,214,543,214,HME
397,197,508,197,508,232,397,232,HME
557,215,695,215,695,262,557,262,HME
411,242,517,242,517,284,411,284,HME
557,254,708,254,708,300,557,300,HME
595,296,695,296,695,358,595,358,HME
160,321,602,321,602,421,160,421,HME
153,398,553,398,553,478,153,478,HME
148,471,527,471,527,551,148,551,HME
142,535,592,535,592,607,142,607,HME
133,620,300,620,300,691,133,691,HME
632,417,745,417,745,487,632,487,HME
623,504,728,504,728,571,623,571,HME
593,573,748,573,748,621,593,621,HME
584,626,707,626,707,671,584,671,HME
568,680,691,680,691,720,568,720,HME
910,154,1138,154,1138,236,910,236,HME
737,191,821,191,821,227,737,227,HME
748,238,808,238,808,271,748,271,HME
749,276,799,276,799,311,749,311,HME
861,247,1187,247,1187,356,861,356,HME
747,429,1185,429,1185,511,747,511,HME
